,review,sentiment_score
98,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1
358,I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,1
246,No actress has been worse used that June Allison in this movie.  ,0
731,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",1
112,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0
656,"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",1
368,I felt as though her going to Ireland did absolutely nothing whatsoever.  ,0
605,"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",0
869,"At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  ",0
627,"I saw this film over Christmas, and what a great film it was!  ",1
470,Even the squibs look awful.  ,0
499,Later I found myself lost in the power of the film.  ,1
217,"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",1
893,"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  ",0
739,What on earth is Irons doing in this film?  ,0
478,"Hackneyed writing, certainly, but made even worse by the bad directing.  ",0
863,"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  ",1
746,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",1
72,"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",0
115,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0
882,"The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  ",0
12,The Songs Were The Best And The Muppets Were So Hilarious.  ,1
480,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0
324,I am so thrilled after seeing a movie like this.  ,1
626,Avoid at all costs.  ,0
498,"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",1
318,All the characters in this film are tremendously well played.  ,1
191,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1
947,"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",1
593,"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",1
314,"It features an outlandish array of memorable, psychotic but lovable nuts.  ",1
234,Do not waste your time.  ,0
188,Nothing at all to recommend.  ,0
447,I believe the screenwriter did a good job of tying up the loose ends.  ,1
750,The football scenes at the end were perplexing.  ,0
848,Lots of holes in the script.  ,0
482,"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",1
653,Excellent performance.  ,1
631,But it wasn't until I watched this film that I realised how great he actually was.  ,1
298,"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  ",1
55,"But I recommend waiting for their future efforts, let this one go.  ",0
225,"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",0
301,10 out of 10 for both the movie and trilogy.  ,1
561,The movie is terribly boring in places.  ,0
179,The kids are annoying.  ,0
423,Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,0
