,review,sentiment_score
170,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0
2314,"Great food for the price, which is very high quality and house made.",1
1095,Will order from them again!,1
1826,Not as good as I had hoped.,0
1313,Phone now holds charge like it did when it was new.,1
354,"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",1
633,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0
2606,It was awesome.,1
489,It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,0
1094,Dont waste your money...,0
2552,I would recommend saving room for this!,1
1576,The battery life is highly unacceptable.,0
1129,The BT headset was such a disapoinment.,0
1896,Great phone.,1
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1
2323,"A couple of months later, I returned and had an amazing meal.",1
2412,"For service, I give them no stars.",0
2588,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1
2231,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
564,One of the most disappointing aspects is the lack of notable gore.  ,0
1795,Perfect for the PS3.,1
1885,"When it opens, the battery connection is broken and the device is turned off.",0
70,"And, quite honestly, often its not very good.  ",0
704,DELETE this film from your mind!  ,0
2434,So absolutley fantastic.,1
2255,We had 7 at our table and the service was pretty fast.,1
2538,Worst martini ever!,0
1497,Save your money.... I've had this item for 11 months now.,0
1803,"If there is a wind, it is completely useless.",0
2259,very tough and very short on flavor!,0
1270,"Not only will it drain your player, but may also potentially fry it.",0
1008,"Needless to say, I wasted my money.",0
371,The plot was the same as pretty much every other cheap horror.  ,0
1743,"Bought mainly for the charger, which broke soon after purchasing.",0
1717,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0
1137,My headset works just peachy-keen.,1
2512,By far the BEST cheesecurds we have ever had!,1
2229,This is the place where I first had pho and it was amazing!!,1
1768,Great product.,1
2609,I will not be eating there again.,0
318,All the characters in this film are tremendously well played.  ,1
1609,It fits my ear well and is comfortable on.,1
1731,None of the three sizes they sent with the headset would stay in my ears.,0
2664,Eclectic selection.,1
1202,It makes very strange ticking noises before it ends the call.,0
1594,Better Than New.,1
464,The death row scenes were entirely unmoving.  ,0
2599,Not good for the money.,0
585,Not recommended.  ,0
1212,Great price also!,1
300,"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  ",1
1951,Very much disappointed with this company.,0
2163,Avoid at all cost!,0
999,All in all its an insult to one's intelligence and a huge waste of money.  ,0
1208,Good transmit audio.,1
1857,(It works!),1
2928,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0
581,"However, here there was no decent acting, action or location work to balance things up.  ",0
211,"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1
1461,We would recommend these to others.,1
2076,2 times - Very Bad Customer Service !,0
20,I can think of no other film where something vitally important occurs every other minute.  ,1
711,Lame would be the best way to describe it.  ,0
286,"The plot - well, I said I'd let that one go.  ",0
2859,Worst food/service I've had in a while.,0
450,"Wow, what a bad film.  ",0
1491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
770,"An Italian reviewer called this ""a small, great film,"" and that's right.  ",1
1549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
1509,"As an earlier review noted, plug in this charger and nothing happens.",0
290,"Camerawork - again, bad.  ",0
1042,Nice headset priced right.,1
323,"The ending is so, SO perfect... you'll shed a tear.  ",1
1066,"A week later after I activated it, it suddenly died.",0
1416,An Awesome New Look For Fall 2000!.,1
1915,So I had to take the battery out of the phone put it all back together and then restart it.,0
1344,Worst customer service.,0
2964,Del Taco is pretty nasty and should be avoided if possible.,0
950,Both Rickman and Stowe play their roles to the hilt in this tale of a childrens' book writer who-- maybe?-- has written a subversive tract.  ,1
2586,"All in all, I can assure you I'll be back.",1
728,Very nice and relaxing late night viewing.  ,1
343,Barney is definitely super DE duper.  ,1
306,In a most wonderful location lies a story of contrast.  ,1
2169,Bacon is hella salty.,1
649,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,1
769,"It's a fresh, subtle, and rather sublime effect.  ",1
625,"Regardless, the film fails on most levels.  ",0
218,It's this pandering to the audience that sabotages most of his films.  ,0
1573,I am very happy,1
2966,But I don't like it.,0
1684,Chinese Forgeries Abound!.,0
2462,Im in AZ all the time and now have my new spot.,1
2178,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
2191,Both of the egg rolls were fantastic.,1
33,"Actually, the graphics were good at the time.  ",1
1714,Not worth it.,0
1720,"Good value, works fine - power via USB, car, or wall outlet.",1
934,For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,1
2339,There is nothing authentic about this place.,0
2170,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0
1492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
1567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
47,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0
2216,Soggy and not good.,0
2227,The folks at Otto always make us feel so welcome and special.,1
2392,"I have been here several times in the past, and the experience has always been great.",1
1463,Disappointed!.,0
1025,Great Pocket PC / phone combination.,1
587,There is no plot here to keep you going in the first place.  ,0
483,"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",1
927,It was a long time that i didn't see a so charismatic actor on screen.  ,1
198,So bad.  ,0
1300,Sending it back.,0
536,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0
541,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,1
1942,"The mic there is a joke, and the volume is quite low.",0
217,"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",1
763,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
1079,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
720,That's how I'd describe this painfully dreary time-waster of a film.  ,0
1785,This allows the possibility of double booking for the same date and time after the first.,0
1053,This phone is pretty sturdy and I've never had any large problems with it.,1
646,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,0
1840,It would take too long to describe how bad my customer service experience has been with Amazon.,0
2198,Very friendly staff.,1
2426,This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
1127,it did not work in my cell phone plug i am very up set with the charger!.,0
776,Why was this film made?  ,0
666,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1
2558,All of the tapas dishes were delicious!,1
2968,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
359,The things that the four kids get themselves into is absolutely hilarious to watch.  ,1
2025,That's right....the red velvet cake.....ohhh this stuff is so good.,1
1782,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0
1407,Works great.,1
1793,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
135,I could not stand to even watch it for very long for fear of losing I.Q.  ,0
501,"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",1
2089,Everything was fresh and delicious!,1
2884,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0
399,The good cinematography also makes her and Monica Bellucci look very beautiful.  ,1
929,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  ,1
2067,Update.....went back for a second time and it was still just as amazing,1
1815,I checked everywhere and there is no feature for it which is really disappointing.,0
